"8c7596ee-8c0a-470f-8a6c-5949f9b7032e",Buenos Aires,
"4908a80e-476f-4ae0-ba36-97f56bbf0be8",Catamarca,
"b2c27a14-f4e2-4dd8-8f61-b1c6e2f1d8e3",Chaco,
"d6e27eb0-7c27-4e36-9032-676ee4009f0a",Chubut,
"224b8614-68f7-4d67-b3c2-22e48c7d8f87",Ciudad Autónoma de Buenos Aires,
"676ebc6c-b9d6-40f7-a281-5a1a7847752c",Córdoba,
"09e38f2c-780f-492f-b49c-c61b8f04eb89",Corrientes,
"f9d14879-0812-4b06-9814-142b17109009",Entre Ríos,
"cf103b42-742f-4f0c-9f53-0a1e06c29bb2",Formosa,
"be7b0b27-d358-4a7a-9c10-024b29dc2796",Jujuy,
"5d870c5f-7288-4b2f-b3cf-45191b394ab7",La Pampa,
"09dc7c9c-3d25-49fd-b441-325289cb68b5",La Rioja,
"49d700a6-81d5-4904-aa9f-6d5b6c46cc6c",Mendoza,
"6e1057b4-ba0f-446b-8989-d22c61d94251",Misiones,
"5f2f189b-3f8e-4a57-8c3c-2a12f8e7641e",Neuquén,
"0625eb95-88c7-4682-a932-8b1a3d93b18c",Río Negro,
"b8e4a90f-f688-4027-b54b-8a74e2a48c92",Salta,
"e2be1aa7-5a88-4ee3-a5ee-867e11e8c328",San Juan,
"5c9f47d5-7f46-404e-a4e8-35c6c16b2e49",San Luis,
"e73cfdcb-36ef-4b32-b5c8-8a40de3a97f8",Santa Cruz,
"026f1f92-86b0-49a6-a570-58835a16fb8f",Santa Fe,
"e53b5b6a-8cf1-4260-a2bb-97c9931bd1b2",Santiago del Estero,
"26120c87-faa3-46b2-80fb-07b882f4ff9d",Tierra del Fuego,
"3f67d26c-bb39-4f24-99eb-b4757a96b0e7",Tucumán
