uuid_nuevo,nombre de la ciudad,,,,provincia_id
55e83d4a-f128-4d69-869e-ff25ee6f8df8,Aluminé,,,,5f2f189b-3f8e-4a57-8c3c-2a12f8e7641e
6b014a60-6068-4b15-961f-b8aa99d4a0fc,Andacollo,,,,5f2f189b-3f8e-4a57-8c3c-2a12f8e7641e
1e50358a-5099-46d1-9201-2c50024161f3,Añelo,,,,5f2f189b-3f8e-4a57-8c3c-2a12f8e7641e
8c9da0a7-c6d0-4e8e-985f-7a4fc96c896b,Barrancas,,,,5f2f189b-3f8e-4a57-8c3c-2a12f8e7641e
16a65490-6e65-4305-9a89-0d65cfc8c8c5,Buta Ranquil,,,,5f2f189b-3f8e-4a57-8c3c-2a12f8e7641e
5e88912b-36b4-4f67-a032-2da9e659ab2a,Caviahue-Copahue,,,,5f2f189b-3f8e-4a57-8c3c-2a12f8e7641e
c32d36c6-0040-4719-9d71-92b6c6be5c6b,Chorriaca,,,,5f2f189b-3f8e-4a57-8c3c-2a12f8e7641e
b2c320cb-0d76-47d2-b083-004b1ed8ab74,Chos Malal,,,,5f2f189b-3f8e-4a57-8c3c-2a12f8e7641e
1bf05cd4-d6fd-497d-88cb-5bbfcd8762c2,Cutral Có,,,,5f2f189b-3f8e-4a57-8c3c-2a12f8e7641e
0625eb95-88c7-4683-a932-8b1a3d93b18c,Junín de los Andes,,,,5f2f189b-3f8e-4a57-8c3c-2a12f8e7641e
dcfcf285-dfe3-4b7d-8c2f-b94935660fa9,Las Coloradas,,,,5f2f189b-3f8e-4a57-8c3c-2a12f8e7641e
3c5be4bc-7a2a-4a94-86d7-7b2d9baaa459,Los Menucos,,,,5f2f189b-3f8e-4a57-8c3c-2a12f8e7641e
e9fb8ddd-91bc-441e-8597-4b1b6e4019b0,Maquinchao,,,,5f2f189b-3f8e-4a57-8c3c-2a12f8e7641e
671cc6e1-0e70-4d56-917c-0b62f635d727,Río Colorado,,,,5f2f189b-3f8e-4a57-8c3c-2a12f8e7641e
03d7d6a1-1316-4c67-8c01-52f7ed383ff0,San Antonio Oeste,,,,5f2f189b-3f8e-4a57-8c3c-2a12f8e7641e
15e7c5e6-b595-437e-a4d7-3d8dc21a8d7f,Sierra Colorada,,,,5f2f189b-3f8e-4a57-8c3c-2a12f8e7641e
bd198c75-7230-4be0-a186-7ccf5a44c4e0,Viedma,,,,5f2f189b-3f8e-4a57-8c3c-2a12f8e7641e
f846c5e8-7ee1-4ba1-83d1-2b9da777ae3b,Villa Regina,,,,5f2f189b-3f8e-4a57-8c3c-2a12f8e7641e
914b1c20-7874-4c05-9c6e-b5c683d7a90a,Cipolletti,,,,0625eb95-88c7-4682-a932-8b1a3d93b18c
f4b6b597-62a4-4ee5-9f56-cbfa30502419,Fernández Oro,,,,0625eb95-88c7-4682-a932-8b1a3d93b18c
bb6a1fae-ef8c-4966-8cb3-5a5a103f25c8,General Conesa,,,,0625eb95-88c7-4682-a932-8b1a3d93b18c
5e011366-6a6d-41f8-9aa5-4a77b71dca58,General Roca,,,,0625eb95-88c7-4682-a932-8b1a3d93b18c
0f2e5d56-7e0b-4d6c-84c2-3a51408f98be,Ingeniero Huergo,,,,0625eb95-88c7-4682-a932-8b1a3d93b18c
9c44cf3a-579e-40b5-91fd-22b7d24b59b8,Ingeniero Jacobacci,,,,0625eb95-88c7-4682-a932-8b1a3d93b18c
3c5be4cc-7a2a-4a94-86d7-7b2d9baaa459,Los Menucos,,,,0625eb95-88c7-4682-a932-8b1a3d93b18c
e9fb8d0d-91bc-441e-8597-4b1b6e4019b0,Maquinchao,,,,0625eb95-88c7-4682-a932-8b1a3d93b18c
671cc6ee-0e70-4d56-917c-0b62f635d727,Río Colorado,,,,0625eb95-88c7-4682-a932-8b1a3d93b18c
03d7d6a0-1316-4c67-8c01-52f7ed383ff0,San Antonio Oeste,,,,0625eb95-88c7-4682-a932-8b1a3d93b18c
15d7c5e6-b595-437e-a4d7-3d8dc21a8d7f,Sierra Colorada,,,,0625eb95-88c7-4682-a932-8b1a3d93b18c
bd199c75-7230-4be0-a186-7ccf5a44c4e0,Viedma,,,,0625eb95-88c7-4682-a932-8b1a3d93b18c
f836c5e8-7ee1-4ba1-83d1-2b9da777ae3b,Villa Regina,,,,0625eb95-88c7-4682-a932-8b1a3d93b18c
dcedcd19-99e5-48c0-a0a3-ae51c51a79b4,Allen,,,,0625eb95-88c7-4682-a932-8b1a3d93b18c
3f324625-4972-4d92-9254-978312a7ef4e,Cinco Saltos,,,,0625eb95-88c7-4682-a932-8b1a3d93b18c
5b0132b8-21f7-4c8c-9536-2871d2c8e13e,Cervantes,,,,0625eb95-88c7-4682-a932-8b1a3d93b18c
8d49d2e4-3d2c-41f6-a7fd-17d736df324e,Chichinales,,,,0625eb95-88c7-4682-a932-8b1a3d93b18c
5b49f3e1-6cb0-42ed-bc05-0c7c031c59c1,Chimpay,,,,0625eb95-88c7-4682-a932-8b1a3d93b18c
f81b6b90-8698-4f14-a5e4-080c39a14a4c,Choele Choel,,,,0625eb95-88c7-4682-a932-8b1a3d93b18c
aeeb080d-b4c5-4a1b-a272-300d9a1ce405,Cipolletti,,,,0625eb95-88c7-4682-a932-8b1a3d93b18c
1f0ec98e-4f1b-45e3-a5c0-f0f1563d9189,Comallo,,,,0625eb95-88c7-4682-a932-8b1a3d93b18c
